Date,Price,,,,,,,,,,,,,,,,
23-Apr-20,66.43372216,,,,,,,,,,,,,,,,
24-Apr-20,68.25164916,,,,,,,,,,,,,,,,
25-Apr-20,68.37882924,,,,,,,,,,,,,,,,
26-Apr-20,67.49604988,,,,,,,,,,,,,,,,
27-Apr-20,67.46612515,,,,,,,,,,,,,,,,
28-Apr-20,68.1992809,,,,,,,,,,,,,,,,
29-Apr-20,69.85262192,,,,,,,,,,,,,,,,
30-Apr-20,69.69551711,,,,,,,,,,,,,,,,
1-May-20,70.62318357,,,,,,,,,,,,,,,,
2-May-20,69.15687208,,,,,,,,,,,,,,,,
3-May-20,69.02221082,,,,,,,,,,,,,,,,
4-May-20,69.029692,,,,,,,,,,,,,,,,
5-May-20,69.53841231,,,,,,,,,,,,,,,,
6-May-20,68.21424326,,,,,,,,,,,,,,,,
7-May-20,66.56090224,,,,,,,,,,,,,,,,
8-May-20,66.89007421,,,,,,,,,,,,,,,,
9-May-20,67.21176499,,,,,,,,,,,,,,,,
10-May-20,67.27909562,,,,,,,,,,,,,,,,
11-May-20,65.55842398,,,,,,,,,,,,,,,,
12-May-20,64.81030587,,,,,,,,,,,,,,,,
13-May-20,65.20680846,,,,,,,,,,,,,,,,
14-May-20,65.27413909,,,,,,,,,,,,,,,,
15-May-20,63.20933312,,,,,,,,,,,,,,,,
16-May-20,63.26170138,,,,,,,,,,,,,,,,
17-May-20,63.77790288,,,,,,,,,,,,,,,,
18-May-20,64.02478185,,,,,,,,,,,,,,,,
19-May-20,63.59087335,,,,,,,,,,,,,,,,
20-May-20,62.9774165,,,,,,,,,,,,,,,,
21-May-20,62.32655375,,,,,,,,,,,,,,,,
22-May-20,61.09964005,,,,,,,,,,,,,,,,
23-May-20,60.68817509,,,,,,,,,,,,,,,,
24-May-20,60.68817509,,,,,,,,,,,,,,,,
25-May-20,59.96998171,,,,,,,,,,,,,,,,
26-May-20,59.6183662,,,,,,,,,,,,,,,,
27-May-20,58.88521045,,,,,,,,,,,,,,,,
28-May-20,58.49618903,,,,,,,,,,,,,,,,
29-May-20,58.24182888,,,,,,,,,,,,,,,,
